strTemplateName,strNameResource,XJDFDescriptiveName,XJDFMediaType,XJDFWidth,XJDFLength,XJDFDimensionsUnit,numPricePerThousand
80# Natural Cover,80# Natural Cover,80# Natural Cover,Paper,8.5,11,in,47.28
,80# Natural Linen Cover,80# Natural Linen Cover,Paper,12,18,in,283.68
80# Silk Cover,80# Silk Cover,80# Silk Cover,Paper,19,25,in,153.66
80# Silk Cover,80# Silk Cover,80# Silk Cover,Paper,23,29,in,212.76
80# Silk Cover,80# Silk Cover,80# Silk Cover,Paper,12,18,in,105.198
80# Silk Cover,80# Silk Cover,80# Silk Cover,Paper,23,35,in,242.31
,80# Silk Text,80# Silk Text,Paper,24,36,in,153.66
,80# Superefine Ultra White Cover,80# Superefine Ultra White Cover,Paper,11.5,17.5,in,380
80# Uncoated Cover,80# Uncoated Cover,80# Uncoated Cover,Paper,23,35,in,366.42
80# Uncoated Cover,80# Uncoated Cover,80# Uncoated Cover,Paper,13,19,in,109
80# Uncoated Cover,80# Uncoated Cover,80# Uncoated Cover,Paper,12,18,in,92.76927
80# Uncoated Cover,80# Uncoated Cover,80# Uncoated Cover,Paper,20,26,in,186.756
80# Uncoated Cover,80# Uncoated Cover,80# Uncoated Cover,Paper,25,38,in,336.87
80# Uncoated Text,80# Uncoated Text,80# Uncoated Text,Paper,8.5,11,in,21.276
80# Uncoated Text,80# Uncoated Text,80# Uncoated Text,Paper,11,17,in,42.552
80# Uncoated Text,80# Uncoated Text,80# Uncoated Text,Paper,12,18,in,49.644
80# Uncoated Text,80# Uncoated Text,80# Uncoated Text,Paper,13,19,in,59.1
80# Uncoated Text,80# Uncoated Text,80# Uncoated Text,Paper,19,25,in,79.194
80# Uncoated Text,80# Uncoated Text,80# Uncoated Text,Paper,23,35,in,133.566
80# Uncoated Text,80# Uncoated Text,80# Uncoated Text,Paper,25,38,in,157.206
80# Uncoated Text,80# Uncoated Text,80# Uncoated Text,Paper,12,18,in,49537.62
80# Uncoated Text,80# Uncoated Text,80# Uncoated Text,Paper,28,40,in,184.392
,80# Vellum Baronial Envelopes,80# Vellum Baronial Envelopes,Paper,3.625,5.125,in,116.49
,100# Beckett Blazer Blue Linen Cover,100# Beckett Blazer Blue Linen Cover,Paper,26,40,in,1580
,100# Classic Crest,100# Classic Crest,Paper,8.5,11,in,189.12
,100# Classic Crest Cover,100# Classic Crest Cover,Paper,12,18,in,330.96
100# Classic Linen Cover,100# Classic Linen Cover,100# Classic Linen Cover,Paper,12,18,in,338.24703
100# Classic Linen Cover,100# Classic Linen Cover,100# Classic Linen Cover,Paper,13,19,in,419.9646
,100# Cougar Text,100# Cougar Text,Paper,23,35,in,201
100# Dull Cover,100# Dull Cover,100# Dull Cover,Paper,13,19,in,123.25896
100# Dull Cover,100# Dull Cover,100# Dull Cover,Paper,12,18,in,120.564
100# Dull Cover,100# Dull Cover,100# Dull Cover,Paper,9,12,in,50
100# Dull Cover,100# Dull Cover,100# Dull Cover,Paper,25,38,in,35.46
100# Dull Text,100# Dull Text,100# Dull Text,Paper,23,35,in,177.3
100# Dull Text,100# Dull Text,100# Dull Text,Paper,13,19,in,82.74
100# Dull Text,100# Dull Text,100# Dull Text,Paper,12,18,in,54
,100# Environment Raw Cover,100# Environment Raw Cover,Paper,12,18,in,270
,100# Enviro Roland Cover,100# Enviro Roland Cover,Paper,26,40,in,531.9
,100# Enviro Uncoated Cover,100# Enviro Uncoated Cover,Paper,12,18,in,319.14
,100# Felt Cover,100# Felt Cover,Paper,12,18,in,236.4
100# Gloss Cover,100# Gloss Cover,100# Gloss Cover,Paper,23,35,in,294.318
100# Gloss Cover,100# Gloss Cover,100# Gloss Cover,Paper,24,36,in,314.412
100# Gloss Cover,100# Gloss Cover,100# Gloss Cover,Paper,25,38,in,346.326
100# Gloss Cover,100# Gloss Cover,100# Gloss Cover,Paper,26,40,in,378.24
100# Gloss Cover,100# Gloss Cover,100# Gloss Cover,Paper,28,40,in,406.608
100# Gloss Cover,100# Gloss Cover,100# Gloss Cover,Paper,12,18,in,120.564
