strTemplateName|strAliasTemplate|strNameResource|XJDFDescriptiveName|XJDFMediaType|XJDFWidth|XJDFLength|XJDFDimensionsUnit|XJDFWeight|XJDFMediaColorName|XJDFTexture|XJDFThickness|XJDFThicknessUnit|numPriceTemplateOrResourcePerThousand
||24# Classic Linen Writing - Whitestone|24# Classic Linen Writing - Whitestone|{I}|{I}|{I}|{I}|{I}|Whitestone|{I}|{I}|{I}|{I}
||130# Cougar Digital Color Copy Cover|130# Cougar Digital Color Copy Cover|Paper|18|12|in|108|White|Super Smooth|0.016|point|197.95
||100# Cougar Digital Cover - Natural|100# Cougar Digital Cover - Natural|Paper|18|12|in|83.08|Natural|Smooth|0.013|point|103.85
||100# Cougar Digital Cover - White|100# Cougar Digital Cover - White|Paper|18|12|in|83.08|White|Smooth|0.013|point|102.8
||65# Cougar Digital Cover|65# Cougar Digital Cover|Paper|8.5|11|in|23.38|Natural|Smooth|0.008|point|28.05
||110# Cougar Digital Cover|110# Cougar Digital Cover|Paper|18|12|in|91.38|White|Smooth|0.014|point|118.8
||70# Cougar Digital Text - Weight13.78|70# Cougar Digital Text - Weight13.78|Paper|8.5|11|in|13.78|White|Smooth|0.005|point|16
||70# Cougar Digital Text - Weight27.56|70# Cougar Digital Text - Weight27.56|Paper|11|17|in|27.56|White|Smooth|0.005|point|33.4
||60# Cougar Digital Text|60# Cougar Digital Text|Paper|8.5|11|in|11.81|White|Smooth|0.004|point|13.75
||70# Cougar Digital Text|70# Cougar Digital Text|Paper|11|17|in|27.56|Natural|Smooth|0.005|point|33.75
||60# Cougar Digital Text|60# Cougar Digital Text|Paper|11|17|in|23.62|Natural|Smooth|0.004|point|28.95
||80# Environment Smooth Cover|80# Environment Smooth Cover|Paper|8.5|11|in|28.76|Ultra Bright White|Smooth|0.01|point|75.1
||100# Everyday Digital Vellum Cover|100# Everyday Digital Vellum Cover|Paper|18|12|in|83.08|White|Vellum|0.014|point|114.05
||110# Exact Index|110# Exact Index|Paper|18|12|in|61.08|White|Smooth|0.009|point|75.25
||80# Finch Opaque Cover Digital|80# Finch Opaque Cover Digital|Paper|18|12|in|66.44|Bright White|Smooth|0.01|point|70.2
||24# Fox River Select 25% Cotton|24# Fox River Select 25% Cotton|Paper|8.5|11|in|12|Bright White|Wove|0.005|point|39.1
20# HammerMill Fore MP Colors Weight 20|J|||Paper|11|17|in|20||Bond|0.004|point|21.7
||20# HammerMill Fore MP Colors - Blue|20# HammerMill Fore MP Colors - Blue|{J}|{J}|{J}|{J}|{J}|Blue|{J}|{J}|{J}|{J}
||20# HammerMill Fore MP Colors - Green|20# HammerMill Fore MP Colors - Green|{J}|{J}|{J}|{J}|{J}|Green|{J}|{J}|{J}|{J}
||20# HammerMill Fore MP Colors - Pink|20# HammerMill Fore MP Colors - Pink|{J}|{J}|{J}|{J}|{J}|Pink|{J}|{J}|{J}|{J}
20# HammerMill Fore MP Colors Weight 10|K|||Paper|8.5|11|in|10||Bond|0.004|point|
||20# HammerMill Fore MP Colors - Gray|20# HammerMill Fore MP Colors - Gray|{K}|{K}|{K}|{K}|{K}|Gray|{K}|{K}|{K}|10.1
||20# HammerMill Fore MP Colors - Buff|20# HammerMill Fore MP Colors - Buff|{K}|{K}|{K}|{K}|{K}|Buff|{K}|{K}|{K}|10.5
